handleId,fieldType,name,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_7770dec3-0559-0ac4-ad57-e28403b84427,Product,Bitch please I'm fucking fabulous | mugs,ca757a_e6fa302ae83f4bc99d4373b57be4f265~mv2.jpg,Mugs,,Mugs,19.95,,TRUE,AMOUNT,4.95,1,0.86,11.99,,,,,,,,,,,,,,,,,,,Material,"<p>Ceramic</p>
",Size,"<p>15&nbsp;oz.&nbsp; (425 ml)<br>
&nbsp;</p>
",Care Instructions,"<p>Dishwasher &amp; microwave safe<br>
Bold pop of colour</p>
",Print,"<p>Sublimation</p>
",,,,,,,,,,,Femi By Jojo
product_adea6c77-36d4-3bd8-0f36-3e3fb0f7c688,Product,Teacher's Life l  libbey glass,ca757a_7286531c850348c1809f943a11b432d4~mv2.jpg,Libbey Glass,,Libbey Glass,18.95,,TRUE,AMOUNT,3.95,1,0.86,5.5,,,,,,,,,,,,,,,,,,,Material,"<p>Glass BPA free. Straw is glass<br>
&nbsp;</p>
",Size,"<p>16 oz (473 ml)</p>
",Care Instructions,"<p>Hand Wash Only</p>

<p>Not Dishwasher safe</p>
",,,,,,,,,,,,,Femi By Jojo
product_6ec30553-b0c6-8f9d-43c8-1da368191695,Product,Crafty Girl  libbey glass,ca757a_2d0761175bae48128211f1c2b0ae2ec2~mv2.jpg,Libbey Glass,,Libbey Glass,18.95,,TRUE,AMOUNT,3.95,1,0.86,5.5,,,,,,,,,,,,,,,,,,,Material,"<p>Glass BPA free. Straw is glass<br>
&nbsp;</p>
",Size,"<p>16 oz (473 ml)</p>
",Care Instructions,"<p>Hand Wash Only</p>

<p>Not Dishwasher safe</p>
",,,,,,,,,,,,,
product_45415b76-fa43-6a5a-5575-b212a2431c44,Product,Just Roll with It | libbey glass,ca757a_63d268a2c44e4b209de7d465bdc2353d~mv2.jpg,Libbey Glass,,Libbey Glass,18.95,,TRUE,AMOUNT,3.95,0,,,Name,DROP_DOWN,Green cover;Purple cover,,,,,,,,,,,,,,,,Material,"<p>Glass BPA free. Straw is glass<br>
&nbsp;</p>
",Size,"<p>16 oz (473 ml)</p>
",Care Instructions,"<p>Hand Wash Only</p>

<p>Not Dishwasher safe</p>
",,,,,,,,,,,,,
product_45415b76-fa43-6a5a-5575-b212a2431c44,Variant,,,,,,,,TRUE,,,1,0.86,5.5,,,Green cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_45415b76-fa43-6a5a-5575-b212a2431c44,Variant,,,,,,,,TRUE,,,1,0.86,5.5,,,Purple cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_29bebaca-30aa-2b7f-bf6d-eb4dee5962ce,Product,Strawberry Pink Bows | libbey glass,ca757a_efe988fd39224dadba12c3048d66af31~mv2.jpg,Libbey Glass,,Libbey Glass,18.95,,TRUE,AMOUNT,3.95,1,0.86,5.5,,,,,,,,,,,,,,,,,,,Material,"<p>Glass BPA free. Straw is glass<br>
&nbsp;</p>
",Size,"<p>16 oz (473 ml)</p>
",Care Instructions,"<p>Hand Wash Only</p>

<p>Not Dishwasher safe</p>
",,,,,,,,,,,,,
product_0be1d944-5a81-0935-c160-c19e520df7a1,Product,Ghost Gang Collection | libbey glass,ca757a_4af36563d14843528e1f7e21a81b790b~mv2.jpg;ca757a_dd78beed540041e18d7d4c5cd1c4915a~mv2.jpg;ca757a_54cca886cd2c44b1ad1fbfa7c6578bfe~mv2.jpg;ca757a_f778709e423445a4bd2cff23a356e6bb~mv2.jpg,Libbey Glass,,Libbey Glass,18.95,,TRUE,AMOUNT,3.95,1,0.86,5.5,Name,DROP_DOWN,Ghost Purple Bow;Ghost Latte squares;Ghost Reading;Ghost Pumpkins,,,,,,,,,,,,,,,,Material,"<p>Glass BPA free. Straw is glass<br>
&nbsp;</p>
",Size,"<p>16 oz (473 ml)</p>
",Care Instructions,"<p>Hand Wash Only</p>

<p>Not Dishwasher safe</p>
",,,,,,,,,,,,,
product_dad90bcd-16cb-472b-2753-1b2bd9ceb036,Product,Pink & Zebra Bows| libbey glass,ca757a_c1a0a7d716014cd39d70bd8b53606b0c~mv2.jpg,Libbey Glass,,Libbey Glass,18.95,,TRUE,AMOUNT,3.95,1,0.86,5.5,,,,,,,,,,,,,,,,,,,Material,"<p>Glass BPA free. Straw is glass<br>
&nbsp;</p>
",Size,"<p>16 oz (473 ml)</p>
",Care Instructions,"<p>Hand Wash Only</p>

<p>Not Dishwasher safe</p>
",,,,,,,,,,,,,
product_9c710072-b7a0-726d-3ae8-7227f020c749,Product,Pink Bow Cherry Collection | libbey glass,ca757a_1572672168374c4789c235951c623df3~mv2.jpg;ca757a_6dec89ac0fa447f3b20cf1c00c036cf5~mv2.jpg,Libbey Glass,,Libbey Glass,18.95,,TRUE,AMOUNT,3.95,0,,,Name,DROP_DOWN,Pink Bow Cherry;Retro Pink Cherry,,,,,,,,,,,,,,,,Material,"<p>Glass BPA free. Straw is glass<br>
&nbsp;</p>
",Size,"<p>16 oz (473 ml)</p>
",Care Instructions,"<p>Hand Wash Only</p>

<p>Not Dishwasher safe</p>
",,,,,,,,,,,,,
